Revenue,Profit Margin,returnOnEquity,Book Value per Share,Operating Cash Flow,Class
5727000000.0,0.066,0.2041,6.706,634100000.0,1
4551600000.0,-0.021,-0.1154,2.211,536500000.0,1
2464867000.0,0.196,0.3189,3.02,597491000.0,1
3297600000.0,0.126,0.1969,7.779,540300000.0,1
597381000.0,0.122,0.1289,10.909,111582000.0,1
5124755000.0,0.024,0.139,15.44,198334000.0,0
2967424000.0,0.036,0.1571,4.577,181218000.0,0
1372316000.0,-0.081,-0.0634,12.515999999999998,491043000.0,1
2655006000.0,0.096,0.3384,8.355,303785000.0,0
554695000.0,0.051,0.0779499999999999,10.419,108329000.0,1
722966000.0,0.015,0.0144,6.322,120151000.0,1
313403000.0,0.073,0.2268,6.031000000000001,15812000.0,1
1138887000.0,0.1889999999999999,0.2103,6.574,361345000.0,1
4243200000.0,0.096,0.2258,14.011,503600000.0,1
2107822000.0,0.062,0.0802,16.572,184768000.0,0
832709000.0,0.017,0.0968,5.957999999999999,9797000.0,0
233391000.0,0.077,0.2559,3.528,13506000.0,1
540718000.0,0.036,0.0779499999999999,10.419,19713000.0,0
4461987000.0,-0.021,-0.1073,-0.4029999999999999,289351000.0,0
499261000.0,0.059,0.077,12.352,36613000.0,0
5668000000.0,0.063,0.1631,29.579,731000000.0,1
2774845000.0,0.09,0.2774,38.921,306467000.0,0
691055000.0,0.161,0.2341,10.458,166996000.0,0
2142261578.9109,0.0002,0.1178,9.1621,286558301.3966,1
1440907000.0,0.076,0.1839,12.347,123920000.0,1
566019178.7558,-0.0285,-0.1463,17.4249,142980083.5997,1
3927500000.0,0.036,0.0815,31.231,230700000.0,1
2569495000.0,0.074,0.2007,15.954,-56464000.0,0
2517567000.0,0.037,0.1694,18.431,137275000.0,0
1604000000.0,0.0056109725685786,0.0779499999999999,10.419,-28000000.0,1
855892000.0,0.006,0.0641,3.567,81871000.0,0
1317153000.0,0.065,0.0838,32.164,154165000.0,1
782510000.0,0.0,0.0005,11.38,24547000.0,1
864844000.0,-0.012,-0.0501,4.734,31198000.0,0
135121246.3675,0.051,0.0779499999999999,10.419,28308524.3784,0
1923371000.0,0.07,0.0874,24.15,265561000.0,0
378393000.0,0.005,0.0153,5.406000000000001,27056000.0,0
1604357000.0,0.005,0.0182,9.917,126467000.0,1
1041075000.0,0.072,0.1419,19.388,129091000.0,1
903007000.0,0.1,0.2081,33.632,141211000.0,0
2776683000.0,0.02,0.0644,31.406,123110000.0,0
501867000.0,0.054,0.1786,8.139,30998000.0,0
350020000.0,0.1169999999999999,0.1745,13.494000000000002,61030000.0,0
2789936.0,0.051,0.0779499999999999,10.419,-268520.0,1
3835985953.0,0.013,0.1344,16.81,154348781.0,1
543525000.0,0.1159999999999999,0.0916,10.147,88769000.0,1
4540071000.0,0.024,0.1366,27.789,-10071000.0,0
1518636000.0,0.003,0.0216,16.589000000000002,52447000.0,1
1941000000.0,0.021,-0.0635,-12.300999999999998,174000000.0,0
919553000.0,0.021,0.0371,13.567,122873000.0,0
74565581.6951,0.049,0.2526,10.419,24072188.205,1
919451000.0,0.078,0.1277,30.118,107096000.0,1
205165000.0,0.088,0.1426,7.579,18124000.0,0
476813000.0,0.04,0.0943,7.626,21045000.0,0
103462000.0,0.063,0.0591,8.419,16092000.0,0
528380000.0,0.023,0.1056,7.22,52895000.0,1
200022000.0,0.015,0.0267,6.062,9911000.0,0
