Revenue,EBITDA,Profit Margin,returnOnEquity,Book Value per Share,Operating Cash Flow,Dividend Yield,R&D Expenses,PRICE VAR [%],Class,Sector
4395200000.0,510300000.0,0.053,0.2397,2.745,526300000.0,0.0063,0.0,-25.38467684172081,0,Consumer Defensive
408345000.0,60534500.0,0.042,0.0713,10.078,52041371.8019,0.0,0.0,-24.047623769135733,0,Consumer Defensive
3394800000.0,766900000.0,0.121,0.2028,7.716,606100000.0,0.0158,0.0,8.676289087055965,1,Consumer Defensive
714623000.0,226524000.0,0.11,0.1247,12.03,156255000.0,0.0,0.0,5.125094895979842,1,Consumer Defensive
5177078000.0,307952000.0,0.022,0.1447,14.771,318562000.0,0.0111,0.0,33.1854999784493,1,Consumer Defensive
1416059000.0,175354000.0,-0.095,-0.1117,8.762,348359000.0,0.0,0.0,-46.99559968040028,0,Consumer Defensive
408345000.0,60534500.0,0.042,0.0713,10.078,302600000.0,0.0,0.0,24.79392887988509,1,Consumer Defensive
3748973000.0,425303000.0,0.047,0.1565,5.356,315183000.0,0.0256,0.0,-3.4623021197772257,0,Consumer Defensive
674314000.0,207744000.0,-0.008,-0.0108,4.299,145186000.0,0.0,0.0,-12.84634552958152,0,Consumer Defensive
327604000.0,51334000.0,0.077,0.2255,6.784,18662000.0,0.0023,0.0,104.882896031619,1,Consumer Defensive
1246766000.0,266504000.0,0.155,0.1582,7.801,374145000.0,0.0,0.0,42.954157359070216,1,Consumer Defensive
4296300000.0,655400000.0,0.085,0.2163,13.174,590000000.0,0.0186,0.0,12.741085740161749,1,Consumer Defensive
2102800000.0,99800000.0,0.005,0.0199,5.78,56700000.0,0.034,0.0,4.963288093336474,1,Consumer Defensive
2609613000.0,296850000.0,0.063,0.0955,16.987000000000002,185482000.0,0.0,0.0,-1.8607032183786107,0,Consumer Defensive
848017000.0,137784000.0,0.048,0.1212,6.297999999999999,99126000.0,0.047,0.0,34.496164402354914,1,Consumer Defensive
1046878000.0,56108000.0,0.015,0.0862,7.362,37727000.0,0.0,0.0,-0.6913869122075349,0,Consumer Defensive
126951000.0,14276000.0,0.015,0.0711,1.038,13554000.0,0.0,0.0,50.85994121664235,1,Consumer Defensive
116186372.0,4374806.0,-0.032,-0.0357,3.103,6738817.0,0.0,0.0,21.41148367659716,1,Consumer Defensive
229395000.0,28458000.0,0.076,0.2314,3.769,32043000.0,0.0412,0.0,43.35483821673303,1,Consumer Defensive
637975000.0,70895000.0,0.042,0.0646,8.648,31842000.0,0.0,0.0,64.16619093011147,1,Consumer Defensive
468540000.0,63868000.0,0.065,0.0833,11.795,50084000.0,0.0218,0.0,45.687086307719895,1,Consumer Defensive
778200000.0,245930000.0,0.1689999999999999,0.2153,13.274,185080000.0,0.0,0.0,51.50336440857957,1,Consumer Defensive
2114322484.0089,301606281.8463,0.0001,0.1328,8.0793,309747419.4873,0.0,0.0,0.030171386486097,1,Consumer Defensive
1576128000.0,288543000.0,0.102,0.2292,14.616,195330000.0,0.0176,0.0,-5.1204564048010415,0,Consumer Defensive
621713782.8622,338906610.9339,0.0,0.0,17.15,103618963.8104,0.0,0.0,24.86144167831543,1,Consumer Defensive
645825000.0,86664000.0,0.076,0.3337,3.188,58020000.0,0.0,0.0,24.24725802342075,1,Consumer Defensive
2247047000.0,283324000.0,0.059,0.1611,14.236,322109000.0,0.0369,0.0,30.845691797448183,1,Consumer Defensive
2802603000.0,177575000.0,0.032,0.1573,18.982,109582000.0,0.0082,0.0,4.715039424575456,1,Consumer Defensive
1445131000.0,201889000.0,0.091,0.145,31.651,179264000.0,0.0,0.0,-6.1145082674819164,0,Consumer Defensive
856824000.0,52160000.0,0.032,0.1462,10.754,37283000.0,0.0145,0.0,28.4925701307814,1,Consumer Defensive
906365000.0,24287000.0,0.011,0.0471,5.066,9685000.0,0.0,0.0,-15.887849981387012,0,Consumer Defensive
181483284.5478,33923635.7766,0.0286,0.0713,10.078,53566168.5411,0.0,7782313.9732,51.100710194331896,1,Consumer Defensive
1909943000.0,252242000.0,0.073,0.0883,24.871,205503000.0,0.012,0.0,27.4351887608764,1,Consumer Defensive
1102745000.0,44728000.0,0.012,0.0385,5.082,24815000.0,0.0,0.0,7.4695160400825245,1,Consumer Defensive
1104514000.0,175663000.0,0.092,0.175,21.279,132772000.0,0.02,0.0,27.3695893933865,1,Consumer Defensive
959934000.0,197895000.0,0.103,0.2134,35.146,168683000.0,0.0,0.0,-14.755329433618256,0,Consumer Defensive
2876748000.0,162445000.0,0.021,0.0681,32.409,136733000.0,0.0261,0.0,58.58250899280576,1,Consumer Defensive
434437000.0,88085000.0,0.092,0.2802,13.492,77548000.0,0.0,0.0,36.93952955169899,1,Consumer Defensive
490280000.0,38869000.0,0.038,0.1187,9.254,25554000.0,0.0,0.0,16.687066970192678,1,Consumer Defensive
327910000.0,73006000.0,0.099,0.1367,14.220999999999998,57012000.0,0.0,0.0,33.35143639619061,1,Consumer Defensive
790471000.0,124592000.0,0.0969999999999999,0.3329999999999999,8.704,105185000.0,0.0,0.0,-3.781147388736096,0,Consumer Defensive
3778643782.0,244341861.0,0.016,0.1384,21.174,153465190.0,0.0146,0.0,27.633528777203804,1,Consumer Defensive
540112000.0,112928000.0,0.122,0.0947,10.412,91073000.0,0.0111,0.0,33.7963746390015,1,Consumer Defensive
197256000.0,45570000.0,0.046,-0.1121,-11.338,24430000.0,0.0,0.0,21.04743184930918,1,Consumer Defensive
4198495000.0,85219000.0,-0.003,-0.0171,27.295,154134000.0,0.0182,0.0,48.33368806126243,1,Consumer Defensive
1583789000.0,69260000.0,0.019,0.1211,17.840999999999998,17468000.0,0.0358,0.0,25.04584586004981,1,Consumer Defensive
1914300000.0,294000000.0,0.0289999999999999,-0.0955,-11.205,158100000.0,0.0,0.0,6.659347603018287,1,Consumer Defensive
887245000.0,65114000.0,0.033,0.1215,21.638,13933000.0,0.0276,0.0,46.01897619433047,1,Consumer Defensive
948294000.0,97171000.0,0.012,0.0205,14.383,120085000.0,0.0,14381000.0,100.70174812402227,1,Consumer Defensive
83191176.4706,27016968.3258,0.0443,0.2021,4.6151,38159663.8655,0.0,0.0,-23.437504035731,0,Consumer Defensive
976256000.0,150316000.0,0.072,0.1169999999999999,32.107,103921000.0,0.0125,0.0,19.605490766014515,1,Consumer Defensive
209941000.0,31517000.0,0.053,0.0886,7.496,26190000.0,0.0,0.0,20.29850518525536,1,Consumer Defensive
539257000.0,30209000.0,0.025,0.062,8.125,26618000.0,0.0,6988000.0,18.454941138236943,1,Consumer Defensive
100311000.0,15388000.0,0.064,0.0584,8.589,7695000.0,0.0112,0.0,52.07006518671008,1,Consumer Defensive
17217944.0,-1794417.0,-0.149,-0.2459,0.264,-755155.0,0.0,0.0,24.3654828478409,1,Consumer Defensive
545882000.0,26002000.0,0.001,0.0072,5.581,26930000.0,0.0,0.0,24.533429311308627,1,Consumer Defensive
204168000.0,14012000.0,0.011,0.0187,6.2,11562000.0,0.0,0.0,105.84652302078024,1,Consumer Defensive
700044891.0,85717461.0,0.06,0.2179,5.312,7377825.0,0.0,0.0,-34.154175643525946,0,Consumer Defensive
1286350000.0,42816000.0,0.008,0.0281,32.771,19432000.0,0.0,0.0,40.47702180124223,1,Consumer Defensive
79508000.0,6750000.0,0.042,0.0763,6.495,2678000.0,0.0,0.0,8.445298541244401,1,Consumer Defensive
81208903.0,2935753.0,-0.039,-0.061,4.057,11112350.0,0.0,1890234.0,10.311746294277818,1,Consumer Defensive
156597000.0,7523000.0,-0.011,-0.0904,0.963,1367000.0,0.0,0.0,-5.172416911538981,0,Consumer Defensive
14006244.0,6798895.0,0.3289999999999999,0.3159,3.174,5199972.0,0.0522,648211.0,-20.187956209220665,0,Consumer Defensive
118587000.0,7357000.0,0.017,0.0436,2.7710000000000004,6745000.0,0.0,0.0,4.6363657171076,1,Consumer Defensive
109811768.0,9232462.0,0.044,0.111,12.812,1079738.0,0.0207,0.0,51.6200853933145,1,Consumer Defensive
153126000.0,47217000.0,0.086,0.0774,21.19,33726000.0,0.0059,0.0,-27.30055169491916,0,Consumer Defensive
76895732.0,3734444.0,0.011,0.0498,1.149,1063218.0,0.0,0.0,-6.0773424626137285,0,Consumer Defensive
33809000.0,1565000.0,-0.001,-0.0011,3.894,1208000.0,0.0,517000.0,-15.851270481718426,0,Consumer Defensive
2681966061.3796,372259789.9867,0.0048,0.1377,32.3228,239495387.8285,0.0014,0.0,2.559940733435461,1,Consumer Defensive
118153541.0,-1431411.0,-0.012,-0.0587,3.876,-2285840.0,0.0,0.0,31.355936312874142,1,Consumer Defensive
306102000.0,19413000.0,-0.011,-0.0414,3.4960000000000004,14337000.0,0.0,0.0,-14.285716566504258,0,Consumer Defensive
122825849.9038,99779666.4529,0.1562,0.2465,4.1511,2723220.0128,0.0,0.0,21.607319554695877,1,Consumer Defensive
180267000.0,9992000.0,0.032,0.1514,14.39,4386000.0,0.0,0.0,8.475017925721215,1,Consumer Defensive
324705000.0,21082000.0,0.045,0.1078,7.303999999999999,10162000.0,0.0395,0.0,56.69417374668848,1,Consumer Defensive
624678000.0,49966000.0,0.026,0.1403,5.135,41003000.0,0.0,0.0,-41.13861767223813,0,Consumer Defensive
33987487.0,1653326.0,0.0139999999999999,0.0223,2.298,812463.0,0.0,0.0,82.71043798655833,1,Consumer Defensive
60700190.0,28336172.0,0.302,0.122,1.903,40853550.0,0.0214,0.0,32.574418071646484,1,Consumer Defensive
51768857.0,-345690.0,-0.024,-0.0771,8.636000000000001,-799555.0,0.0,0.0,25.06738056000475,1,Consumer Defensive
41508376.0,7623212.0,0.1119999999999999,0.2258,3.189,5871515.0,0.0295,0.0,1.4576860065636532,1,Consumer Defensive
1286000000.0,42000000.0,0.0077760497667185,0.0713,10.078,19000000.0,0.0,0.0,31.25,1,Consumer Defensive
205359000.0,8231000.0,-0.001,-0.0088,1.5419999999999998,-6276000.0,0.0,0.0,-8.675801472882446,0,Consumer Defensive
27000000.0,-1000000.0,-0.037037037037037,0.0713,10.078,-3000000.0,0.0,0.0,43.54838368547821,1,Consumer Defensive
80358446.9015,3628439.1875,0.0057,0.0171,7.8514,3686808.9483,0.0,0.0,50.04483774465153,1,Consumer Defensive
17938872.0,4762679.0,0.103,0.07,5.5120000000000005,2696977.0,0.0,0.0,14.921097130500614,1,Consumer Defensive
18000000.0,5000000.0,0.11111111111111,0.0713,10.078,3000000.0,0.0,0.0,23.95619537750236,1,Consumer Defensive
1316590000.0,104129000.0,-0.033,-0.0375,11.566,145449000.0,0.0298,0.0,0.6219500294330548,1,Basic Materials
2854400000.0,332600000.0,0.0,-0.0006,23.393,217100000.0,0.0463,0.0,52.037333966168575,1,Basic Materials
1634762000.0,155571000.0,0.192,0.0368,4.231,582481000.0,0.0,0.0,29.71887577118595,1,Basic Materials
1949857000.0,52037000.0,-0.03,-0.0588,11.605,31866000.0,0.0,0.0,88.96247291738749,1,Basic Materials
805100000.0,293800000.0,0.1169999999999999,0.1225,13.852,203700000.0,0.0,0.0,-7.234799897218585,0,Basic Materials
3422181000.0,811531000.0,0.065,0.0497,33.437,519538000.0,0.0042,0.0,36.37780856579023,1,Basic Materials
1892500000.0,41200000.0,-0.047,-0.0866,7.142,29200000.0,0.0,0.0,5.872487787658041,1,Basic Materials
1092400000.0,125800000.0,0.037,0.0852,6.675,151800000.0,0.0,17500000.0,58.28402724145354,1,Basic Materials
2225602000.0,476322000.0,0.09,0.1167,18.972,296951000.0,0.0326,0.0,37.51982694212155,1,Basic Materials
1075341000.0,75224000.0,0.06,0.2026,3.649,51202000.0,0.0,0.0,33.302324871684235,1,Basic Materials
0.0,4282718.7274,0.042,-0.0008,3.7433,-7901663.0513,0.0,0.0,61.5686259843532,1,Basic Materials
2789000000.0,361000000.0,0.038006453926138,0.0713,10.078,262000000.0,0.0,0.0,3.126509134208044,1,Basic Materials
0.0,-31799000.0,0.042,-0.0969999999999999,1.036,-10599000.0,0.0,0.0,5.800464114131144,1,Basic Materials
